Experiment,RMSE,MAE,R²,Training Time,RMSE Improvement
Subsample 0.9,2.0379544029761893,1.3434930785382044,0.757617991125579,84.29538059234619,0.0035
Subsample 0.7,2.0400319537533425,1.3437309331100946,0.7571235565076153,74.6129822731018,0.0015
Current Best,2.041485666332881,1.345603808447562,0.756777289049356,63.43147301673889,0.0
